protocol__name,experiment__name,experiment__trial_id,plot__name,plot__lookup_key,sample__name,sample__planned_growth_stage,sample__items_per_sample,measurement_name,measurement_date,analytical_method,variable,value
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP02.PLOT207,207,FTR336.BLOCK01.REP02.PLOT207.T.003,VT,3,FTR336.BLOCK01.REP02.PLOT207.T.003.01,2020-10-12 12:27:00,,dry_weight_g,319
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP02.PLOT208,208,FTR336.BLOCK01.REP02.PLOT208.T.003,VT,3,FTR336.BLOCK01.REP02.PLOT208.T.003.01,2020-10-12 12:27:00,,dry_weight_g,242.9
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP02.PLOT209,209,FTR336.BLOCK01.REP02.PLOT209.T.003,VT,3,FTR336.BLOCK01.REP02.PLOT209.T.003.01,2020-10-12 12:27:00,,dry_weight_g,254.9
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP03.PLOT303,303,FTR336.BLOCK01.REP03.PLOT303.T.002,VT,3,FTR336.BLOCK01.REP03.PLOT303.T.002.01,2020-10-12 12:27:00,,dry_weight_g,276.7
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP03.PLOT304,304,FTR336.BLOCK01.REP03.PLOT304.T.002,VT,3,FTR336.BLOCK01.REP03.PLOT304.T.002.01,2020-10-12 12:27:00,,dry_weight_g,319.6
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP03.PLOT305,305,FTR336.BLOCK01.REP03.PLOT305.T.002,VT,3,FTR336.BLOCK01.REP03.PLOT305.T.002.01,2020-10-12 12:27:00,,dry_weight_g,337.5
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP03.PLOT306,306,FTR336.BLOCK01.REP03.PLOT306.T.002,VT,3,FTR336.BLOCK01.REP03.PLOT306.T.002.01,2020-10-12 12:27:00,,dry_weight_g,325.3
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP03.PLOT308,308,FTR336.BLOCK01.REP03.PLOT308.T.002,VT,3,FTR336.BLOCK01.REP03.PLOT308.T.002.01,2020-10-12 12:27:00,,dry_weight_g,259.2
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP03.PLOT309,309,FTR336.BLOCK01.REP03.PLOT309.T.002,VT,3,FTR336.BLOCK01.REP03.PLOT309.T.002.01,2020-10-12 12:27:00,,dry_weight_g,363.2
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP04.PLOT401,401,FTR336.BLOCK01.REP04.PLOT401.T.002,VT,3,FTR336.BLOCK01.REP04.PLOT401.T.002.01,2020-10-12 12:27:00,,dry_weight_g,295
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP04.PLOT402,402,FTR336.BLOCK01.REP04.PLOT402.T.002,VT,3,FTR336.BLOCK01.REP04.PLOT402.T.002.01,2020-10-12 12:27:00,,dry_weight_g,280.5
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP04.PLOT403,403,FTR336.BLOCK01.REP04.PLOT403.T.002,VT,3,FTR336.BLOCK01.REP04.PLOT403.T.002.01,2020-10-12 12:27:00,,dry_weight_g,317.2
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP04.PLOT404,404,FTR336.BLOCK01.REP04.PLOT404.T.002,VT,3,FTR336.BLOCK01.REP04.PLOT404.T.002.01,2020-10-12 12:27:00,,dry_weight_g,265.1
20-ZEAMX-US403,FTR336,may-march-bacon-winter-batman-white,FTR336.BLOCK01.REP06.PLOT609,609,FTR336.BLOCK01.REP06.PLOT609.T.002,VT,3,FTR336.BLOCK01.REP06.PLOT609.T.002.01,2020-10-12 12:27:00,,dry_weight_g,207.7
20-ZEAMX-US403,FTR338,four-georgia-march-fruit-alanine-steak,FTR338.BLOCK01.REP01.PLOT107,107,FTR338.BLOCK01.REP01.PLOT107.T.002,VT,1,FTR338.BLOCK01.REP01.PLOT107.T.002.01,2020-06-18 17:48:59,,dry_weight_g,107.3
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT102,102,FTR337.BLOCK01.REP01.PLOT102.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT102.T.002.01,2020-08-31 12:20:59,,dry_weight_g,259
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT103,103,FTR337.BLOCK01.REP01.PLOT103.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT103.T.002.01,2020-08-31 12:20:59,,dry_weight_g,252.4
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT104,104,FTR337.BLOCK01.REP01.PLOT104.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT104.T.002.01,2020-08-31 12:20:59,,dry_weight_g,242.6
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT105,105,FTR337.BLOCK01.REP01.PLOT105.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT105.T.002.01,2020-08-31 12:20:59,,dry_weight_g,252.4
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT106,106,FTR337.BLOCK01.REP01.PLOT106.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT106.T.002.01,2020-08-31 12:20:59,,dry_weight_g,243.7
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT107,107,FTR337.BLOCK01.REP01.PLOT107.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT107.T.002.01,2020-08-31 12:20:59,,dry_weight_g,243
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP01.PLOT108,108,FTR337.BLOCK01.REP01.PLOT108.T.002,VT,3,FTR337.BLOCK01.REP01.PLOT108.T.002.01,2020-08-31 12:20:59,,dry_weight_g,248.9
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP02.PLOT203,203,FTR337.BLOCK01.REP02.PLOT203.T.002,VT,3,FTR337.BLOCK01.REP02.PLOT203.T.002.01,2020-09-05 10:18:59,,dry_weight_g,268.4
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP02.PLOT204,204,FTR337.BLOCK01.REP02.PLOT204.T.002,VT,3,FTR337.BLOCK01.REP02.PLOT204.T.002.01,2020-08-31 12:20:59,,dry_weight_g,245.5
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP02.PLOT205,205,FTR337.BLOCK01.REP02.PLOT205.T.002,VT,3,FTR337.BLOCK01.REP02.PLOT205.T.002.01,2020-08-31 12:20:59,,dry_weight_g,259.3
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP02.PLOT206,206,FTR337.BLOCK01.REP02.PLOT206.T.002,VT,3,FTR337.BLOCK01.REP02.PLOT206.T.002.01,2020-09-05 10:18:59,,dry_weight_g,280.1
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP02.PLOT208,208,FTR337.BLOCK01.REP02.PLOT208.T.002,VT,3,FTR337.BLOCK01.REP02.PLOT208.T.002.01,2020-09-05 10:18:59,,dry_weight_g,273.8
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP02.PLOT209,209,FTR337.BLOCK01.REP02.PLOT209.T.002,VT,3,FTR337.BLOCK01.REP02.PLOT209.T.002.01,2020-09-05 10:18:59,,dry_weight_g,236
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP03.PLOT301,301,FTR337.BLOCK01.REP03.PLOT301.T.002,VT,3,FTR337.BLOCK01.REP03.PLOT301.T.002.01,2020-08-31 12:20:59,,dry_weight_g,237.6
20-ZEAMX-US403,FTR337,delaware-queen-angel-artist-green-south,FTR337.BLOCK01.REP03.PLOT302,302,FTR337.BLOCK01.REP03.PLOT302.T.002,VT,3,FTR337.BLOCK01.REP03.PLOT302.T.002.01,2020-08-31 12:20:59,,dry_weight_g,252.7
